Epoch	Learning Rate	Train Loss	Test Loss	Train Err.	Test Err.	
1.000000	0.100000	2.618712	4.323633	83.592012	84.061924	
2.000000	0.100000	2.304189	3.664635	81.534870	80.412569	
3.000000	0.100000	2.311550	3.241766	81.219542	80.412569	
4.000000	0.100000	2.321118	3.005646	81.106242	80.412569	
5.000000	0.100000	2.327693	2.811909	81.092592	80.412569	
6.000000	0.100000	2.332598	2.639280	81.114433	80.412569	
7.000000	0.100000	2.332183	2.523997	81.050275	79.640443	
8.000000	0.100000	1.876391	2.492920	60.839237	24.131838	
9.000000	0.100000	1.013315	2.291665	23.569079	12.538414	
10.000000	0.100000	0.833800	2.192318	16.934900	9.292409	
11.000000	0.100000	0.786888	2.142924	15.126200	9.146435	
12.000000	0.100000	0.760678	2.096114	14.038249	7.575292	
13.000000	0.100000	0.745947	2.118565	13.479940	7.609865	
14.000000	0.100000	0.741625	2.020783	13.202834	7.924862	
15.000000	0.100000	0.735160	1.924828	12.776936	8.082360	
16.000000	0.100000	0.730713	1.861183	12.487544	6.899201	
17.000000	0.100000	0.732996	1.978842	12.419291	8.028580	
18.000000	0.100000	0.730140	1.858166	12.310086	6.419023	
19.000000	0.100000	0.733228	1.847747	12.295071	8.036263	
20.000000	0.100000	0.733518	1.865708	12.114883	7.141211	
21.000000	0.100000	0.729844	1.826592	11.956537	6.576521	
22.000000	0.100000	0.730048	1.739459	11.983838	6.810848	
23.000000	0.100000	0.731411	1.784823	11.893744	5.842809	
24.000000	0.100000	0.730086	1.674116	11.967457	6.411340	
25.000000	0.100000	0.732922	1.738824	11.970187	7.229564	
26.000000	0.050000	0.671736	1.610136	9.775175	5.412569	
27.000000	0.050000	0.660433	1.649065	9.223692	4.974647	
28.000000	0.050000	0.663841	1.608024	9.388864	5.620006	
29.000000	0.050000	0.664580	1.562386	9.362928	5.043792	
30.000000	0.050000	0.672050	1.506114	9.655050	5.984942	
31.000000	0.050000	0.671419	1.583698	9.599083	5.558543	
32.000000	0.050000	0.675252	1.587617	9.674161	5.585433	
33.000000	0.050000	0.674280	1.532770	9.676891	5.812077	
34.000000	0.050000	0.678931	1.505084	9.832507	5.255071	
35.000000	0.050000	0.672832	1.463876	9.671431	5.201291	
36.000000	0.050000	0.677467	1.431812	9.857079	5.562385	
37.000000	0.050000	0.680966	1.436339	9.988124	4.832514	
38.000000	0.050000	0.678713	1.444673	9.779270	5.374155	
39.000000	0.050000	0.678346	1.454429	9.883015	5.024585	
40.000000	0.050000	0.678134	1.424402	9.844793	5.550860	
41.000000	0.050000	0.680460	1.359608	9.937617	5.101414	
42.000000	0.050000	0.682003	1.467261	10.076853	5.812077	
43.000000	0.050000	0.680811	1.353157	9.970378	4.974647	
44.000000	0.050000	0.681600	1.323964	10.061837	4.824831	
45.000000	0.050000	0.679315	1.300791	10.044091	4.886294	
46.000000	0.050000	0.681857	1.363596	10.110979	5.232022	
47.000000	0.050000	0.682137	1.293239	10.038631	5.255071	
48.000000	0.050000	0.686861	1.312016	10.431768	5.923479	
49.000000	0.050000	0.685455	1.316822	10.345769	5.109096	
50.000000	0.050000	0.684454	1.308776	10.277516	5.324216	
51.000000	0.025000	0.646527	1.282050	8.953411	4.121850	
52.000000	0.025000	0.632651	1.208914	8.321389	4.033497	
53.000000	0.025000	0.632142	1.301047	8.320024	4.125691	
54.000000	0.025000	0.632247	1.263111	8.369166	4.505993	
55.000000	0.025000	0.634755	1.197808	8.477006	4.079594	
56.000000	0.025000	0.635600	1.234800	8.507037	4.433006	
57.000000	0.025000	0.637817	1.171827	8.714526	3.998924	
58.000000	0.025000	0.640278	1.232650	8.623067	4.632760	
59.000000	0.025000	0.639627	1.203111	8.770493	4.863245	
60.000000	0.025000	0.642020	1.213892	8.801889	4.536724	
61.000000	0.025000	0.639334	1.179160	8.782778	4.056546	
62.000000	0.025000	0.640443	1.169096	8.762303	4.409957	
63.000000	0.025000	0.643812	1.190804	8.926109	4.125691	
64.000000	0.025000	0.642391	1.184510	8.900173	4.678857	
65.000000	0.025000	0.645406	1.177038	9.087186	4.202520	
66.000000	0.025000	0.642840	1.168557	9.021663	4.632760	
67.000000	0.025000	0.645095	1.172181	9.117217	4.164106	
68.000000	0.025000	0.644133	1.158089	9.129503	4.064229	
69.000000	0.025000	0.642430	1.169887	9.122678	4.248617	
70.000000	0.025000	0.643325	1.166463	9.264644	4.348494	
71.000000	0.025000	0.642280	1.147204	9.129503	4.233251	
72.000000	0.025000	0.642257	1.110646	9.211406	4.144899	
73.000000	0.025000	0.643492	1.118911	9.357468	4.029656	
74.000000	0.025000	0.641646	1.113231	9.199121	3.937462	
75.000000	0.025000	0.642536	1.125279	9.352007	3.718500	
76.000000	0.012500	0.617271	1.089564	8.059298	3.584050	
77.000000	0.012500	0.608374	1.081399	7.869555	3.860633	
78.000000	0.012500	0.607359	1.076768	7.902317	3.449600	
79.000000	0.012500	0.604407	1.082289	7.664797	3.299785	
80.000000	0.012500	0.605121	1.087665	7.730319	3.391979	
81.000000	0.012500	0.603441	1.093136	7.701653	3.584050	
82.000000	0.012500	0.601961	1.111845	7.667527	3.576368	
83.000000	0.012500	0.603851	1.059698	7.715304	3.472649	
84.000000	0.012500	0.605691	1.045675	7.809493	3.307468	
85.000000	0.012500	0.605819	1.053887	7.808128	3.318992	
86.000000	0.012500	0.607019	1.059240	7.827238	3.149969	
87.000000	0.012500	0.605718	1.061122	7.920062	3.415028	
88.000000	0.012500	0.608522	1.059893	8.105710	3.272895	
89.000000	0.012500	0.604574	1.065171	7.806762	3.891364	
90.000000	0.012500	0.606876	1.027325	8.003331	3.461125	
91.000000	0.012500	0.607057	1.059390	8.041552	3.618623	
92.000000	0.012500	0.605967	1.037754	7.973299	3.630148	
93.000000	0.012500	0.608362	1.011412	8.160312	3.415028	
94.000000	0.012500	0.609659	1.031760	8.169868	3.407345	
95.000000	0.012500	0.607156	1.041244	8.068853	3.587892	
96.000000	0.012500	0.607482	1.047156	8.130281	3.649355	
97.000000	0.012500	0.607854	1.048344	8.160312	3.691610	
98.000000	0.012500	0.607743	1.043922	8.236756	3.549478	
99.000000	0.012500	0.607431	1.020010	8.244946	3.607099	
100.000000	0.012500	0.606019	1.020806	8.137106	3.549478	
