Epoch	Learning Rate	Train Loss	Test Loss	Train Err.	Test Err.	
1.000000	0.100000	2.654250	4.450495	83.560000	77.130000	
2.000000	0.100000	2.056515	3.851485	76.620000	68.710000	
3.000000	0.100000	1.928445	3.398322	71.182000	65.300000	
4.000000	0.100000	1.827824	3.019349	66.310000	61.180000	
5.000000	0.100000	1.719693	2.957384	60.728000	52.730000	
6.000000	0.100000	1.595982	2.913078	53.592000	44.500000	
7.000000	0.100000	1.475717	2.765652	47.150000	38.840000	
8.000000	0.100000	1.395612	2.605758	43.348000	34.410000	
9.000000	0.100000	1.323142	2.593219	40.030000	32.090000	
10.000000	0.100000	1.270594	2.503739	37.448000	32.150000	
11.000000	0.100000	1.235678	2.503064	35.514000	29.840000	
12.000000	0.100000	1.203356	2.313232	33.812000	30.110000	
13.000000	0.100000	1.166921	2.377291	32.000000	26.680000	
14.000000	0.100000	1.149389	2.192326	31.136000	25.020000	
15.000000	0.100000	1.130156	2.132996	30.042000	25.420000	
16.000000	0.100000	1.125241	2.189792	29.724000	26.310000	
17.000000	0.100000	1.110227	2.070960	29.104000	24.640000	
18.000000	0.100000	1.100686	1.998058	28.404000	21.400000	
19.000000	0.100000	1.087402	2.005153	27.868000	22.050000	
20.000000	0.100000	1.082608	2.004233	27.448000	23.190000	
21.000000	0.100000	1.068936	1.862990	26.914000	20.820000	
22.000000	0.100000	1.075474	1.879471	27.278000	20.780000	
23.000000	0.100000	1.055587	1.992064	26.344000	22.640000	
24.000000	0.100000	1.058728	1.877114	26.410000	21.380000	
25.000000	0.100000	1.057699	1.897758	26.476000	19.860000	
26.000000	0.050000	0.949800	1.844522	22.278000	16.470000	
27.000000	0.050000	0.922702	1.738950	21.304000	16.020000	
28.000000	0.050000	0.916684	1.740901	21.052000	15.820000	
29.000000	0.050000	0.915946	1.800484	20.956000	16.280000	
30.000000	0.050000	0.921903	1.677818	21.208000	15.950000	
31.000000	0.050000	0.916784	1.622420	21.034000	16.240000	
32.000000	0.050000	0.912495	1.698847	20.778000	16.520000	
33.000000	0.050000	0.917508	1.655087	21.026000	15.990000	
34.000000	0.050000	0.915867	1.622714	20.982000	15.310000	
35.000000	0.050000	0.910483	1.678092	20.922000	16.170000	
36.000000	0.050000	0.912023	1.604941	21.056000	15.270000	
37.000000	0.050000	0.906260	1.586464	21.032000	16.970000	
38.000000	0.050000	0.907854	1.584612	21.204000	16.080000	
39.000000	0.050000	0.903054	1.520883	20.860000	15.380000	
40.000000	0.050000	0.898540	1.506430	20.658000	14.990000	
41.000000	0.050000	0.898986	1.571736	21.078000	15.920000	
42.000000	0.050000	0.892197	1.525239	20.710000	15.780000	
43.000000	0.050000	0.890671	1.580056	20.762000	14.600000	
44.000000	0.050000	0.890642	1.485235	20.888000	14.990000	
45.000000	0.050000	0.892754	1.451929	20.932000	14.110000	
46.000000	0.050000	0.887134	1.432890	20.634000	15.420000	
47.000000	0.050000	0.886862	1.446178	20.964000	15.150000	
48.000000	0.050000	0.885614	1.455036	20.838000	15.000000	
49.000000	0.050000	0.885432	1.429240	21.010000	14.220000	
50.000000	0.050000	0.882573	1.407467	21.136000	13.190000	
51.000000	0.025000	0.817248	1.419610	18.438000	12.360000	
52.000000	0.025000	0.788390	1.337356	17.228000	11.660000	
53.000000	0.025000	0.785723	1.318651	17.098000	11.480000	
54.000000	0.025000	0.780298	1.371815	17.028000	11.570000	
55.000000	0.025000	0.775863	1.349056	16.940000	11.660000	
56.000000	0.025000	0.773817	1.361306	16.964000	11.230000	
57.000000	0.025000	0.779130	1.344527	17.096000	11.840000	
58.000000	0.025000	0.776186	1.327777	17.068000	11.110000	
59.000000	0.025000	0.777689	1.337164	17.234000	11.640000	
60.000000	0.025000	0.780057	1.332238	17.442000	11.520000	
61.000000	0.025000	0.780469	1.345036	17.394000	11.450000	
62.000000	0.025000	0.780642	1.326648	17.636000	11.970000	
63.000000	0.025000	0.777766	1.338620	17.504000	11.580000	
64.000000	0.025000	0.776461	1.317715	17.774000	12.160000	
65.000000	0.025000	0.777422	1.255296	17.772000	11.400000	
66.000000	0.025000	0.776118	1.313900	17.672000	10.860000	
67.000000	0.025000	0.775827	1.271669	17.742000	11.000000	
68.000000	0.025000	0.775029	1.271167	17.834000	10.910000	
69.000000	0.025000	0.774179	1.268558	17.650000	11.770000	
70.000000	0.025000	0.774690	1.219629	17.832000	11.040000	
71.000000	0.025000	0.772396	1.267225	17.936000	11.100000	
