Epoch	Learning Rate	Train Loss	Test Loss	Train Err.	Test Err.	
1.000000	0.100000	2.655222	4.353632	83.976000	76.180000	
2.000000	0.100000	2.092234	3.801615	77.350000	70.500000	
3.000000	0.100000	1.978524	3.467833	73.054000	62.830000	
4.000000	0.100000	1.840614	3.147367	66.022000	61.620000	
5.000000	0.100000	1.721891	3.054660	59.706000	51.710000	
6.000000	0.100000	1.616577	2.914564	53.734000	46.120000	
7.000000	0.100000	1.485011	2.747604	47.506000	41.600000	
8.000000	0.100000	1.385233	2.698125	43.048000	36.280000	
9.000000	0.100000	1.322022	2.528309	39.992000	34.460000	
10.000000	0.100000	1.269260	2.509025	37.344000	30.980000	
11.000000	0.100000	1.219447	2.249862	34.794000	28.810000	
12.000000	0.100000	1.195996	2.354664	33.424000	25.560000	
13.000000	0.100000	1.169676	2.282348	32.146000	27.480000	
14.000000	0.100000	1.149864	2.241362	31.198000	28.260000	
15.000000	0.100000	1.129901	2.210349	30.168000	25.360000	
16.000000	0.100000	1.120458	2.186438	29.502000	23.330000	
17.000000	0.100000	1.106501	2.148513	28.788000	22.490000	
18.000000	0.100000	1.093349	2.123159	28.214000	21.320000	
19.000000	0.100000	1.082112	2.030625	27.534000	20.800000	
20.000000	0.100000	1.077167	1.955021	27.348000	21.420000	
21.000000	0.100000	1.079267	1.947501	27.288000	21.390000	
22.000000	0.100000	1.061405	1.883890	26.512000	21.510000	
23.000000	0.100000	1.060224	1.851965	26.416000	20.030000	
24.000000	0.100000	1.061705	1.803090	26.512000	21.170000	
25.000000	0.100000	1.054079	1.910631	26.196000	21.380000	
26.000000	0.050000	0.948685	1.777299	22.418000	15.780000	
27.000000	0.050000	0.919756	1.793933	20.856000	17.010000	
28.000000	0.050000	0.915853	1.728040	20.952000	16.300000	
29.000000	0.050000	0.919924	1.734632	21.164000	16.090000	
30.000000	0.050000	0.915561	1.731910	21.086000	16.150000	
31.000000	0.050000	0.920473	1.707801	21.266000	16.310000	
32.000000	0.050000	0.919175	1.583123	21.282000	15.740000	
33.000000	0.050000	0.918210	1.617985	21.190000	15.140000	
34.000000	0.050000	0.911126	1.640705	20.864000	15.890000	
35.000000	0.050000	0.908165	1.637696	20.810000	15.810000	
36.000000	0.050000	0.907039	1.595471	20.854000	15.490000	
37.000000	0.050000	0.908896	1.519082	20.994000	14.990000	
38.000000	0.050000	0.907186	1.572425	20.936000	15.340000	
39.000000	0.050000	0.901741	1.568760	20.666000	15.360000	
40.000000	0.050000	0.899467	1.552163	20.842000	14.690000	
41.000000	0.050000	0.900365	1.579136	20.870000	15.910000	
42.000000	0.050000	0.892233	1.493328	20.728000	14.740000	
43.000000	0.050000	0.892835	1.483127	20.752000	14.930000	
44.000000	0.050000	0.891536	1.482215	20.730000	15.060000	
45.000000	0.050000	0.890651	1.443475	20.910000	14.910000	
46.000000	0.050000	0.884591	1.437140	20.746000	14.260000	
47.000000	0.050000	0.887454	1.482501	21.032000	14.700000	
48.000000	0.050000	0.883609	1.453261	20.948000	14.160000	
49.000000	0.050000	0.886622	1.435556	20.980000	14.020000	
50.000000	0.050000	0.879569	1.365530	20.838000	13.990000	
51.000000	0.025000	0.811302	1.355724	18.106000	12.280000	
52.000000	0.025000	0.788130	1.410283	17.134000	11.850000	
53.000000	0.025000	0.781783	1.403562	16.748000	11.400000	
54.000000	0.025000	0.777728	1.378496	16.716000	11.350000	
55.000000	0.025000	0.778791	1.349319	16.922000	11.770000	
56.000000	0.025000	0.779313	1.324972	17.154000	11.200000	
57.000000	0.025000	0.775331	1.337983	17.126000	12.030000	
58.000000	0.025000	0.778326	1.290093	17.286000	12.180000	
59.000000	0.025000	0.778269	1.339407	17.132000	11.930000	
60.000000	0.025000	0.775635	1.310947	16.996000	11.270000	
61.000000	0.025000	0.781905	1.310738	17.408000	11.210000	
62.000000	0.025000	0.778783	1.340608	17.520000	12.170000	
63.000000	0.025000	0.778626	1.317053	17.502000	12.130000	
64.000000	0.025000	0.777479	1.282747	17.654000	11.830000	
65.000000	0.025000	0.772844	1.282381	17.374000	11.290000	
66.000000	0.025000	0.776729	1.288804	17.560000	11.540000	
67.000000	0.025000	0.772206	1.254313	17.426000	11.420000	
68.000000	0.025000	0.771989	1.284029	17.424000	11.680000	
69.000000	0.025000	0.771332	1.257888	17.610000	11.460000	
70.000000	0.025000	0.768822	1.236170	17.624000	11.130000	
71.000000	0.025000	0.771152	1.263357	17.940000	10.760000	
72.000000	0.025000	0.769762	1.250028	17.896000	11.320000	
73.000000	0.025000	0.769976	1.257663	17.984000	11.760000	
74.000000	0.025000	0.769180	1.222115	18.110000	11.160000	
75.000000	0.025000	0.767266	1.215324	17.962000	11.280000	
76.000000	0.012500	0.724774	1.218285	15.994000	9.690000	
77.000000	0.012500	0.706432	1.187661	15.152000	9.470000	
78.000000	0.012500	0.699886	1.190129	14.916000	9.540000	
79.000000	0.012500	0.696162	1.213713	14.650000	9.760000	
80.000000	0.012500	0.689677	1.218375	14.504000	9.310000	
81.000000	0.012500	0.690900	1.156191	14.520000	9.370000	
82.000000	0.012500	0.688890	1.218646	14.584000	9.080000	
83.000000	0.012500	0.686414	1.180508	14.586000	9.230000	
84.000000	0.012500	0.687735	1.190988	14.634000	9.010000	
85.000000	0.012500	0.683672	1.190793	14.318000	10.140000	
86.000000	0.012500	0.687929	1.187561	14.632000	9.260000	
87.000000	0.012500	0.685696	1.191399	14.774000	9.050000	
88.000000	0.012500	0.690956	1.156121	14.818000	9.450000	
89.000000	0.012500	0.684866	1.177071	14.726000	9.320000	
90.000000	0.012500	0.684093	1.202249	14.752000	9.870000	
91.000000	0.012500	0.681776	1.152695	14.756000	9.250000	
92.000000	0.012500	0.683395	1.173389	14.616000	9.380000	
93.000000	0.012500	0.682055	1.185027	14.766000	9.380000	
94.000000	0.012500	0.686915	1.173639	14.952000	9.090000	
95.000000	0.012500	0.685840	1.156623	14.760000	9.620000	
96.000000	0.012500	0.685178	1.159583	15.008000	9.780000	
97.000000	0.012500	0.688133	1.143625	15.090000	9.410000	
98.000000	0.012500	0.681878	1.190573	14.866000	9.770000	
99.000000	0.012500	0.679308	1.164703	14.902000	9.990000	
100.000000	0.012500	0.679167	1.129124	14.798000	9.990000	
101.000000	0.006250	0.655431	1.107385	13.672000	8.520000	
102.000000	0.006250	0.642289	1.109552	13.058000	8.300000	
103.000000	0.006250	0.634849	1.115534	12.870000	8.370000	
104.000000	0.006250	0.632031	1.129558	12.582000	8.410000	
105.000000	0.006250	0.628664	1.119796	12.502000	8.320000	
106.000000	0.006250	0.628713	1.109582	12.414000	7.890000	
107.000000	0.006250	0.627148	1.091284	12.252000	8.290000	
108.000000	0.006250	0.624661	1.138149	12.166000	8.270000	
